Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C11, C12, C13, C16, C2, C25, C5, C6",0603,9,100nF,
"C10, C14, C3, C4, C7",0805,5,1uF,
"C15, C8, C9",1206,3,10uF,
C17,0402,1,10nF,
"C18, C19",0402,2,12pF,
"C20, C21",0402,2,1.5pF,
C22,0402,1,1.2pF,
C23,0402,1,0.5pF,
C24,1210,1,100uF,
L1,0402,1,2nH,
L2,0603,1,24nH,
L3,0402,1,2.7nH,
L4,0402,1,3.9nH,
R1,0805,1,5.1K,
"R10, R12, R13, R4, R5",0805,5,10K,
"R2, R3",0603,2,22,
U1,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q32JVSSIQ_C179173,C179173
U2,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,1,ESP32-S3,
U3,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,RT9013-33GB,C47773
U4,USB-A-SMD_XUSM-0930-2319,1,XUSM-0930-2319,C7527682
"U6, U8",SOD-123FL_L2.8-W1.8-LS3.6-RD,2,SS24FL_C894433,C894433
U7,WSON-8_L8.0-W6.10-P1.27-BL-EP,1,W25Q256JVEIQTR,C97522
USB2,USB-SMD_GT-USB-8016B,1,GT-USB-8016B,C3001295
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,40MHz,
