Designator,Mid X,Mid Y,Rotation,Layer
AE1,108.94,-148.99,270.0,top
C1,97.1075,-143.24,180.0,bottom
C10,102.99,-145.3275,90.0,bottom
C11,101.22,-145.7125,90.0,bottom
C12,100.4725,-132.93,90.0,bottom
C13,103.41988,-135.57012,135.0,bottom
C14,97.5525,-147.03,0.0,bottom
C15,97.145,-149.16,0.0,bottom
C16,101.22,-141.2375,90.0,bottom
C17,103.0475,-142.83,180.0,bottom
C18,100.4925,-142.825,0.0,top
C19,102.7075,-146.135,0.0,top
C2,100.97,-136.4425,90.0,bottom
C20,104.29,-142.2775,270.0,top
C21,106.15,-143.2825,90.0,top
C22,109.2925,-142.95,0.0,top
C23,107.07,-143.2825,90.0,top
C24,97.155,-151.5,180.0,top
C25,102.5475,-131.54,180.0,top
C3,98.78,-145.07,0.0,bottom
C4,102.185,-132.9775,90.0,bottom
C5,103.91988,-139.36012,315.0,bottom
C6,103.1225,-151.78,0.0,bottom
C7,101.235081,-149.307292,70.0,bottom
C8,98.26,-151.5,0.0,bottom
C9,107.642017,-143.460483,315.0,bottom
H10,100.52,-129.04,0.0,top
H11,104.06,-129.04,0.0,top
H4,106.67,-122.4,0.0,top
H5,96.02,-122.4,0.0,top
H6,99.57,-122.4,0.0,top
H7,103.12,-122.4,0.0,top
H8,107.6,-129.04,0.0,top
H9,96.98,-129.04,0.0,top
L1,103.374819,-138.185181,315.0,bottom
L2,102.35,-144.025,270.0,top
L3,105.22,-143.192499,90.0,top
L4,108.6325,-142.01,180.0,top
R1,104.4125,-118.19,0.0,top
R10,105.8125,-131.62,180.0,bottom
R12,106.444765,-140.644765,225.0,bottom
R13,107.075235,-138.595235,45.0,bottom
R2,99.32,-132.4575,90.0,top
R3,97.85,-132.4575,90.0,top
R4,104.935235,-141.832735,225.0,bottom
R5,107.8325,-133.6,0.0,bottom
U1,97.42,-137.6375,270.0,bottom
U2,100.08,-138.24,270.0,top
U3,104.23,-149.1,180.0,bottom
U4,102.29,-155.16,0.0,top
U6,98.71,-119.38,0.0,top
U7,107.37,-135.82,0.0,top
U8,102.945,-151.975,0.0,top
USB2,101.35,-114.88,180.0,top
Y1,99.32,-146.03,270.0,top
